127.0.0.1 - - [11/Jan/2023:10:43:47 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Jan/2023:10:43:50 +0900] "GET /a_mybatis_board07/ HTTP/1.1" 200 875
0:0:0:0:0:0:0:1 - - [11/Jan/2023:10:43:50 +0900] "GET /a_mybatis_board07/resources/css/style.css HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [11/Jan/2023:10:43:50 +0900] "GET /a_mybatis_board07/resources/js/main.js HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [11/Jan/2023:10:43:50 +0900] "GET /a_mybatis_board07/resources/images/%EB%B2%B5%EA%B0%88%ED%98%B8%EB%9E%91%EC%9D%B4.png HTTP/1.1" 200 191487
0:0:0:0:0:0:0:1 - - [11/Jan/2023:10:43:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Jan/2023:10:43:55 +0900] "GET /a_mybatis_board07/board/list HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [11/Jan/2023:10:46:55 +0900] "GET /a_mybatis_board07/board/list/notice?name=kangeuisik HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [11/Jan/2023:10:46:55 +0900] "GET /a_mybatis_board07/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2023:10:47:17 +0900] "GET /a_mybatis_board07/board/list/notice?name=kangeuisik HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:01:43 +0900] "GET /a_mybatis_board07/board/list/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:01:45 +0900] "GET /a_mybatis_board07/board/list HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:02:37 +0900] "GET /a_mybatis_board07/board/list HTTP/1.1" 500 793
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:03:15 +0900] "GET /a_mybatis_board07/board/list HTTP/1.1" 500 793
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:03:18 +0900] "GET /a_mybatis_board07/board/list HTTP/1.1" 500 793
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:03:26 +0900] "GET /a_mybatis_board07/board/list HTTP/1.1" 200 826
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:03:26 +0900] "GET /a_mybatis_board07/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:05:05 +0900] "GET /a_mybatis_board07/board/list HTTP/1.1" 200 824
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:05:13 +0900] "GET /a_mybatis_board07/board/list HTTP/1.1" 200 824
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:05:30 +0900] "GET /a_mybatis_board07/board/list/free HTTP/1.1" 200 828
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:05:30 +0900] "GET /a_mybatis_board07/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:07:16 +0900] "GET /a_mybatis_board07/board/list/free HTTP/1.1" 200 2604
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:07:29 +0900] "GET /a_mybatis_board07/board/list/notice HTTP/1.1" 200 2524
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:10:29 +0900] "GET /a_mybatis_board07/board/list/ HTTP/1.1" 200 1164
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:10:29 +0900] "GET /a_mybatis_board07/resources/css/style.css HTTP/1.1" 304 -
